Table E1a. Charge Receipts by Basis or Statute (All Statutes) FY 1997 - FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 1997 ,FY 1998 ,FY 1999 ,FY 2000 ,FY 2001 ,FY 2002 ,FY 2003 ,FY 2004 ,FY 2005 ,FY 2006 ,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Total Charges,"80,680","79,591","77,444","79,896","80,840","84,442","81,293","79,432","75,428","75,768","82,792","95,402","93,277","99,922","99,947","99,412","93,727","88,778","89,385","91,503","84,254","76,418","72,675","67,448","61,331","73,485","81,055"
Race,"29,199","28,820","28,819","28,945","28,912","29,910","28,526","27,696","26,740","27,238","30,510","33,937","33,579","35,890","35,395","33,512","33,068","31,073","31,027","32,309","28,528","24,600","23,976","22,064","20,908","20,992","27,505"
,36.20%,36.20%,37.30%,36.20%,35.80%,35.40%,35.10%,34.90%,35.50%,35.90%,37.00%,35.60%,36.00%,35.90%,35.40%,33.70%,35.30%,35.00%,34.70%,35.30%,33.90%,32.20%,33.00%,32.70%,34.10%,28.60%,33.90%
Sex,"24,728","24,454","23,907","25,194","25,140","25,536","24,362","24,249","23,094","23,247","24,826","28,372","28,028","29,029","28,534","30,356","27,687","26,027","26,396","26,934","25,605","24,655","23,532","21,398","18,762","19,805","25,473"
,30.70%,30.70%,30.90%,31.50%,31.10%,30.20%,30.00%,30.50%,30.60%,30.70%,30.10%,29.70%,30.00%,29.10%,28.50%,30.50%,29.50%,29.30%,29.50%,29.40%,30.40%,32.30%,32.40%,31.70%,30.60%,27.00%,31.40%
National Origin,"6,712","6,778","7,108","7,792","8,025","9,046","8,450","8,361","8,035","8,327","9,396","10,601","11,134","11,304","11,833","10,883","10,642","9,579","9,438","9,840","8,299","7,106","7,009","6,377","6,213","5,500","6,963"
,8.30%,8.50%,9.20%,9.80%,9.90%,10.70%,10.40%,10.50%,10.70%,11.00%,11.40%,11.10%,11.90%,11.30%,11.80%,10.90%,11.40%,10.80%,10.60%,10.80%,9.80%,9.30%,9.60%,9.50%,10.10%,7.50%,8.60%
Religion,"1,709","1,786","1,811","1,939","2,127","2,572","2,532","2,466","2,340","2,541","2,880","3,273","3,386","3,790","4,151","3,811","3,721","3,549","3,502","3,825","3,436","2,859","2,725","2,404","2,111","13,814","4,341"
,2.10%,2.20%,2.30%,2.40%,2.60%,3.00%,3.10%,3.10%,3.10%,3.40%,3.50%,3.40%,3.60%,3.80%,4.20%,3.80%,4.00%,4.00%,3.90%,4.20%,4.10%,3.70%,3.70%,3.60%,3.40%,18.80%,5.40%
Color,762,965,"1,303","1,290","1,135","1,381","1,550",930,1069,"1,241","1,735","2,698","2,943","2,780","2,832","2,662","3,146","2,756","2,833","3,102","3,240","3,166","3,415","3,562","3,516","4,088","5,819"
